"kabkot","halase","satuan","kemiskinan","satuan","wifi","satuan","uhahi","satuan","tahun"
KABUPATEN BOGOR,"12.47",TAHUN,0.15,POIN,1,TITIK,71.01,TAHUN,2019
KABUPATEN SUKABUMI,"12.22",TAHUN,0.11,POIN,4,TITIK,70.73,TAHUN,2019
KABUPATEN CIANJUR,"11.98",TAHUN,0.11,POIN,3,TITIK,69.91,TAHUN,2019
KABUPATEN BANDUNG,"12.68",TAHUN,0.28,POIN,4,TITIK,73.4,TAHUN,2019
KABUPATEN GARUT,"11.82",TAHUN,0.16,POIN,6,TITIK,71.22,TAHUN,2019
KABUPATEN TASIKMALAYA,"12.52",TAHUN,0.12,POIN,4,TITIK,69.21,TAHUN,2019
KABUPATEN CIAMIS,"13.79",TAHUN,0.14,POIN,4,TITIK,71.57,TAHUN,2019
KABUPATEN KUNINGAN,"12.1",TAHUN,0.18,POIN,3,TITIK,73.35,TAHUN,2019
KABUPATEN CIREBON,"12.24",TAHUN,0.26,POIN,5,TITIK,71.82,TAHUN,2019
KABUPATEN MAJALENGKA,"12.21",TAHUN,0.28,POIN,3,TITIK,69.97,TAHUN,2019
KABUPATEN SUMEDANG,"12.96",TAHUN,0.21,POIN,3,TITIK,72.29,TAHUN,2019
KABUPATEN INDRAMAYU,"12.24",TAHUN,0.4,POIN,8,TITIK,71.37,TAHUN,2019
KABUPATEN SUBANG,"11.69",TAHUN,0.34,POIN,7,TITIK,72.13,TAHUN,2019
KABUPATEN PURWAKARTA,"12.1",TAHUN,0.28,POIN,4,TITIK,70.8,TAHUN,2019
KABUPATEN KARAWANG,"12.08",TAHUN,0.24,POIN,3,TITIK,71.98,TAHUN,2019
KABUPATEN BEKASI,"13.08",TAHUN,0.15,POIN,0,TITIK,73.56,TAHUN,2019
KABUPATEN BANDUNG BARAT,"11.86",TAHUN,0.33,POIN,4,TITIK,72.18,TAHUN,2019
KABUPATEN PANGANDARAN,"12.06",TAHUN,0.16,POIN,4,TITIK,71.12,TAHUN,2019
KOTA BOGOR,"13.4",TAHUN,0.18,POIN,1,TITIK,73.41,TAHUN,2019
KOTA SUKABUMI,"13.46",TAHUN,0.32,POIN,1,TITIK,72.26,TAHUN,2019
KOTA BANDUNG,"14.19",TAHUN,0.14,POIN,0,TITIK,74.14,TAHUN,2019
KOTA CIREBON,"13.11",TAHUN,0.26,POIN,4,TITIK,72.13,TAHUN,2019
KOTA BEKASI,"13.99",TAHUN,0.1,POIN,1,TITIK,74.89,TAHUN,2019
KOTA DEPOK,"13.91",TAHUN,0.04,POIN,3,TITIK,74.31,TAHUN,2019
KOTA CIMAHI,"13.79",TAHUN,0.14,POIN,4,TITIK,73.89,TAHUN,2019
KOTA TASIKMALAYA,"13.44",TAHUN,0.53,POIN,4,TITIK,71.93,TAHUN,2019
KOTA BANJAR,"13.22",TAHUN,0.1,POIN,4,TITIK,70.79,TAHUN,2019
KABUPATEN BOGOR,"12.48",TAHUN,0.11,POIN,4,TITIK,71.17,TAHUN,2020
KABUPATEN SUKABUMI,"12.23",TAHUN,0.12,POIN,4,TITIK,70.97,TAHUN,2020
KABUPATEN CIANJUR,"11.99",TAHUN,0.27,POIN,4,TITIK,70.13,TAHUN,2020
KABUPATEN BANDUNG,"12.69",TAHUN,0.17,POIN,4,TITIK,73.53,TAHUN,2020
KABUPATEN GARUT,"11.91",TAHUN,0.15,POIN,4,TITIK,71.41,TAHUN,2020
KABUPATEN TASIKMALAYA,"12.53",TAHUN,0.11,POIN,4,TITIK,69.47,TAHUN,2020
KABUPATEN CIAMIS,"14.06",TAHUN,0.16,POIN,4,TITIK,71.83,TAHUN,2020
KABUPATEN KUNINGAN,"12.22",TAHUN,0.62,POIN,4,TITIK,73.59,TAHUN,2020
KABUPATEN CIREBON,"12.25",TAHUN,0.24,POIN,4,TITIK,71.99,TAHUN,2020
KABUPATEN MAJALENGKA,"12.22",TAHUN,0.25,POIN,4,TITIK,70.27,TAHUN,2020
KABUPATEN SUMEDANG,"12.97",TAHUN,0.42,POIN,4,TITIK,72.43,TAHUN,2020
KABUPATEN INDRAMAYU,"12.25",TAHUN,0.56,POIN,4,TITIK,71.63,TAHUN,2020
KABUPATEN SUBANG,"11.7",TAHUN,0.25,POIN,4,TITIK,72.35,TAHUN,2020
KABUPATEN PURWAKARTA,"12.11",TAHUN,0.2,POIN,4,TITIK,70.99,TAHUN,2020
KABUPATEN KARAWANG,"12.09",TAHUN,0.25,POIN,4,TITIK,72.15,TAHUN,2020
KABUPATEN BEKASI,"13.09",TAHUN,0.18,POIN,4,TITIK,73.68,TAHUN,2020
KABUPATEN BANDUNG BARAT,"11.87",TAHUN,0.25,POIN,4,TITIK,72.34,TAHUN,2020
KABUPATEN PANGANDARAN,"12.07",TAHUN,0.28,POIN,4,TITIK,71.4,TAHUN,2020
