id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,harapan_lama_sekolah,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.28,TAHUN,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.08,TAHUN,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9.62,TAHUN,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10.82,TAHUN,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,10.36,TAHUN,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10.76,TAHUN,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,11.75,TAHUN,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10.84,TAHUN,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,10.66,TAHUN,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11,TAHUN,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.9,TAHUN,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.45,TAHUN,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,10.59,TAHUN,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.16,TAHUN,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10.76,TAHUN,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.54,TAHUN,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9.68,TAHUN,2010
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-,TAHUN,2010
19,32,JAWA BARAT,3271,KOTA BOGOR,11.72,TAHUN,2010
20,32,JAWA BARAT,3272,KOTA SUKABUMI,11.55,TAHUN,2010
21,32,JAWA BARAT,3273,KOTA BANDUNG,12.41,TAHUN,2010
22,32,JAWA BARAT,3274,KOTA CIREBON,11.7,TAHUN,2010
23,32,JAWA BARAT,3275,KOTA BEKASI,12.13,TAHUN,2010
24,32,JAWA BARAT,3276,KOTA DEPOK,12.45,TAHUN,2010
25,32,JAWA BARAT,3277,KOTA CIMAHI,12.24,TAHUN,2010
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11.85,TAHUN,2010
27,32,JAWA BARAT,3279,KOTA BANJAR,11.9,TAHUN,2010
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.59,TAHUN,2011
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.1,TAHUN,2011
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.07,TAHUN,2011
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.01,TAHUN,2011
32,32,JAWA BARAT,3205,KABUPATEN GARUT,10.52,TAHUN,2011
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11.38,TAHUN,2011
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12.21,TAHUN,2011
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,TAHUN,2011
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,11,TAHUN,2011
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.08,TAHUN,2011
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.93,TAHUN,2011
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10.87,TAHUN,2011
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,10.87,TAHUN,2011
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.26,TAHUN,2011
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,10.92,TAHUN,2011
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.84,TAHUN,2011
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.09,TAHUN,2011
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-,TAHUN,2011
46,32,JAWA BARAT,3271,KOTA BOGOR,11.85,TAHUN,2011
47,32,JAWA BARAT,3272,KOTA SUKABUMI,11.68,TAHUN,2011
48,32,JAWA BARAT,3273,KOTA BANDUNG,12.97,TAHUN,2011
49,32,JAWA BARAT,3274,KOTA CIREBON,12.1,TAHUN,2011
50,32,JAWA BARAT,3275,KOTA BEKASI,12.36,TAHUN,2011
51,32,JAWA BARAT,3276,KOTA DEPOK,12.46,TAHUN,2011
52,32,JAWA BARAT,3277,KOTA CIMAHI,12.76,TAHUN,2011
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12.24,TAHUN,2011
54,32,JAWA BARAT,3279,KOTA BANJAR,12.02,TAHUN,2011
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,10.91,TAHUN,2012
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.73,TAHUN,2012
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.62,TAHUN,2012
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.26,TAHUN,2012
59,32,JAWA BARAT,3205,KABUPATEN GARUT,10.85,TAHUN,2012
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11.83,TAHUN,2012
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12.83,TAHUN,2012
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.4,TAHUN,2012
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.17,TAHUN,2012
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.22,TAHUN,2012
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11.95,TAHUN,2012
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.11,TAHUN,2012
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.15,TAHUN,2012
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10.71,TAHUN,2012
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.08,TAHUN,2012
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.05,TAHUN,2012
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10.53,TAHUN,2012
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,-,TAHUN,2012
73,32,JAWA BARAT,3271,KOTA BOGOR,11.98,TAHUN,2012
74,32,JAWA BARAT,3272,KOTA SUKABUMI,12.19,TAHUN,2012
75,32,JAWA BARAT,3273,KOTA BANDUNG,13.05,TAHUN,2012
76,32,JAWA BARAT,3274,KOTA CIREBON,12.5,TAHUN,2012
77,32,JAWA BARAT,3275,KOTA BEKASI,12.43,TAHUN,2012
78,32,JAWA BARAT,3276,KOTA DEPOK,12.47,TAHUN,2012
79,32,JAWA BARAT,3277,KOTA CIMAHI,13.23,TAHUN,2012
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12.66,TAHUN,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,12.15,TAHUN,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.68,TAHUN,2013
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11.8,TAHUN,2013
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.54,TAHUN,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.5,TAHUN,2013
86,32,JAWA BARAT,3205,KABUPATEN GARUT,11.17,TAHUN,2013
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.29,TAHUN,2013
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.46,TAHUN,2013
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.7,TAHUN,2013
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.48,TAHUN,2013
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.38,TAHUN,2013
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.83,TAHUN,2013
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.36,TAHUN,2013
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.38,TAHUN,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.22,TAHUN,2013
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.31,TAHUN,2013
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.42,TAHUN,2013
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,TAHUN,2013
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.48,TAHUN,2013
100,32,JAWA BARAT,3271,KOTA BOGOR,12.1,TAHUN,2013
101,32,JAWA BARAT,3272,KOTA SUKABUMI,13.08,TAHUN,2013
102,32,JAWA BARAT,3273,KOTA BANDUNG,13.13,TAHUN,2013
103,32,JAWA BARAT,3274,KOTA CIREBON,12.58,TAHUN,2013
104,32,JAWA BARAT,3275,KOTA BEKASI,13.2,TAHUN,2013
105,32,JAWA BARAT,3276,KOTA DEPOK,13.24,TAHUN,2013
106,32,JAWA BARAT,3277,KOTA CIMAHI,13.7,TAHUN,2013
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.11,TAHUN,2013
108,32,JAWA BARAT,3279,KOTA BANJAR,12.29,TAHUN,2013
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.81,TAHUN,2014
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.12,TAHUN,2014
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.82,TAHUN,2014
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11.74,TAHUN,2014
113,32,JAWA BARAT,3205,KABUPATEN GARUT,11.62,TAHUN,2014
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.41,TAHUN,2014
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.57,TAHUN,2014
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.01,TAHUN,2014
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.6,TAHUN,2014
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.61,TAHUN,2014
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.89,TAHUN,2014
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11.62,TAHUN,2014
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.44,TAHUN,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.33,TAHUN,2014
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.64,TAHUN,2014
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,11.73,TAHUN,2014
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.06,TAHUN,2014
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.89,TAHUN,2014
127,32,JAWA BARAT,3271,KOTA BOGOR,12.23,TAHUN,2014
128,32,JAWA BARAT,3272,KOTA SUKABUMI,13.18,TAHUN,2014
129,32,JAWA BARAT,3273,KOTA BANDUNG,13.33,TAHUN,2014
130,32,JAWA BARAT,3274,KOTA CIREBON,12.93,TAHUN,2014
131,32,JAWA BARAT,3275,KOTA BEKASI,13.28,TAHUN,2014
