,kabkot,halase,kemiskinan,wifi,uhahi,sum,rank,tahun,label
0,KABUPATEN BOGOR,0.073381358,0.068063054,0.003383698,0.078250126,0.223078236,64,2019,Baik
1,KABUPATEN SUKABUMI,0.023817887,0.095614884,0.006108104,0.049999349,0.175540223,91,2019,Kurang Baik
2,KABUPATEN CIANJUR,0.012540975,0.095614884,0.006108104,0.049999349,0.164263312,105,2019,Kurang Baik
3,KABUPATEN BANDUNG,0.073381358,0.020017823,0.006108104,0.150903417,0.250410701,47,2019,Sangat Baik
4,KABUPATEN GARUT,0.012540975,0.068063054,0.016083716,0.078250126,0.174937872,94,2019,Kurang Baik
5,KABUPATEN TASIKMALAYA,0.073381358,0.095614884,0.006108104,0.049999349,0.225103694,61,2019,Baik
6,KABUPATEN CIAMIS,0.073381358,0.095614884,0.006108104,0.078250126,0.253354471,44,2019,Baik
7,KABUPATEN KUNINGAN,0.012540975,0.068063054,0.006108104,0.150903417,0.237615551,53,2019,Cukup Baik
8,KABUPATEN CIREBON,0.023817887,0.068063054,0.006108104,0.078250126,0.17623917,89,2019,Kurang Baik
9,KABUPATEN MAJALENGKA,0.023817887,0.020017823,0.006108104,0.049999349,0.099943162,129,2019,Sangat Buruk
10,KABUPATEN SUMEDANG,0.073381358,0.068063054,0.006108104,0.078250126,0.225802641,56,2019,Baik
11,KABUPATEN INDRAMAYU,0.023817887,0.020017823,0.016083716,0.078250126,0.138169552,113,2019,Sangat Buruk
12,KABUPATEN SUBANG,0.012540975,0.020017823,0.016083716,0.078250126,0.12689264,119,2019,Sangat Buruk
13,KABUPATEN PURWAKARTA,0.012540975,0.020017823,0.006108104,0.049999349,0.088666251,132,2019,Sangat Buruk
14,KABUPATEN KARAWANG,0.012540975,0.068063054,0.006108104,0.078250126,0.164962259,98,2019,Kurang Baik
15,KABUPATEN BEKASI,0.073381358,0.068063054,0.003383698,0.150903417,0.295731527,32,2019,Luar Biasa
16,KABUPATEN BANDUNG BARAT,0.012540975,0.020017823,0.006108104,0.078250126,0.116917028,123,2019,Sangat Buruk
17,KABUPATEN PANGANDARAN,0.012540975,0.068063054,0.006108104,0.078250126,0.164962259,98,2019,Kurang Baik
18,KOTA BOGOR,0.073381358,0.068063054,0.003383698,0.150903417,0.295731527,32,2019,Luar Biasa
19,KOTA SUKABUMI,0.073381358,0.020017823,0.003383698,0.078250126,0.175033004,92,2019,Buruk
20,KOTA BANDUNG,0.073381358,0.095614884,0.003383698,0.150903417,0.323283357,23,2019,Luar Biasa
21,KOTA CIREBON,0.073381358,0.068063054,0.006108104,0.078250126,0.225802641,56,2019,Baik
22,KOTA BEKASI,0.073381358,0.095614884,0.003383698,0.305716388,0.478096328,10,2019,Sempurna
23,KOTA DEPOK,0.073381358,0.095614884,0.006108104,0.305716388,0.480820733,5,2019,Sempurna
24,KOTA CIMAHI,0.073381358,0.095614884,0.006108104,0.150903417,0.326007763,22,2019,Luar Biasa
25,KOTA TASIKMALAYA,0.073381358,0.014065153,0.006108104,0.078250126,0.17180474,96,2019,Buruk
26,KOTA BANJAR,0.073381358,0.095614884,0.006108104,0.049999349,0.225103694,61,2019,Baik
27,KABUPATEN BOGOR,0.073381358,0.095614884,0.006108104,0.078250126,0.253354471,44,2020,Baik
28,KABUPATEN SUKABUMI,0.023817887,0.095614884,0.006108104,0.078250126,0.203791001,69,2020,Kurang Baik
29,KABUPATEN CIANJUR,0.012540975,0.020017823,0.006108104,0.049999349,0.088666251,132,2020,Sangat Buruk
30,KABUPATEN BANDUNG,0.073381358,0.068063054,0.006108104,0.150903417,0.298455933,27,2020,Luar Biasa
31,KABUPATEN GARUT,0.012540975,0.068063054,0.006108104,0.078250126,0.164962259,98,2020,Kurang Baik
32,KABUPATEN TASIKMALAYA,0.073381358,0.095614884,0.006108104,0.049999349,0.225103694,61,2020,Baik
33,KABUPATEN CIAMIS,0.073381358,0.068063054,0.006108104,0.078250126,0.225802641,56,2020,Baik
34,KABUPATEN KUNINGAN,0.023817887,0.014065153,0.006108104,0.150903417,0.194894561,73,2020,Cukup Baik
35,KABUPATEN CIREBON,0.023817887,0.068063054,0.006108104,0.078250126,0.17623917,89,2020,Kurang Baik
36,KABUPATEN MAJALENGKA,0.023817887,0.068063054,0.006108104,0.049999349,0.147988393,111,2020,Kurang Baik
37,KABUPATEN SUMEDANG,0.073381358,0.020017823,0.006108104,0.078250126,0.17775741,86,2020,Buruk
38,KABUPATEN INDRAMAYU,0.023817887,0.014065153,0.006108104,0.078250126,0.122241269,121,2020,Sangat Buruk
39,KABUPATEN SUBANG,0.012540975,0.068063054,0.006108104,0.078250126,0.164962259,98,2020,Kurang Baik
40,KABUPATEN PURWAKARTA,0.012540975,0.068063054,0.006108104,0.078250126,0.164962259,98,2020,Kurang Baik
